epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,17.0903,2.07746,11.6916,0.51949,1.10325,2.57067,0.46662,0.67606,0.56082,0.21607,0,0,0,0,2.30988,11.3864,0.49696,2.10181,2.98447,9.66667e-05,9.66667e-05,0.0678744
2,20.8504,1.80032,11.5265,0.37157,0.95281,1.95564,0.8381,0.80282,0.86897,0.41016,0,0,0,0,2.06198,10.9296,0.57648,1.16089,2.70591,0.000196389,0.000196389,0.0346408
3,24.5921,1.63574,10.9165,0.41814,0.786,1.83222,0.81958,0.83099,0.89898,0.43329,0,0,0,0,2.02623,10.5534,0.56241,1.02312,2.67447,0.000295828,0.000295828,0.00140694
4,28.3135,1.58252,10.2258,0.45685,0.73356,1.70355,0.83596,0.91549,0.94322,0.5083,0,0,0,0,1.83685,10.0196,0.5057,0.95214,2.18965,0.000298727,0.000298727,0.000298727
5,32.0791,1.48602,9.847,0.48257,0.71405,1.71305,0.94876,0.78238,0.93021,0.52525,0,0,0,0,1.79677,9.71029,0.47532,0.92496,2.12195,0.000298303,0.000298303,0.000298303
6,35.8371,1.36522,9.43142,0.41572,0.68854,1.65285,0.89409,0.83233,0.91454,0.53719,0,0,0,0,1.63292,9.44996,0.40481,0.92924,2.03724,0.000297879,0.000297879,0.000297879
7,39.5896,1.32185,9.07792,0.38953,0.6575,1.54796,0.8694,0.84386,0.8977,0.56065,0,0,0,0,1.65183,9.45931,0.39101,0.91242,1.94332,0.000297454,0.000297454,0.000297454
8,43.3667,1.27311,8.91749,0.39722,0.63503,1.5292,0.87694,0.87324,0.91651,0.56538,0,0,0,0,1.64405,9.21245,0.39785,0.91516,1.94552,0.00029703,0.00029703,0.00029703
9,47.0906,1.2959,8.75631,0.39863,0.62837,1.53489,0.88847,0.90141,0.96031,0.66602,0,0,0,0,1.31341,8.91795,0.40346,0.75702,1.69779,0.000296606,0.000296606,0.000296606
10,50.8312,1.23722,8.52315,0.39645,0.60867,1.42227,0.86617,0.91549,0.95958,0.64164,0,0,0,0,1.30102,8.81541,0.40561,0.78677,1.65847,0.000296181,0.000296181,0.000296181
11,54.1448,1.17005,8.34611,0.38965,0.58411,1.44786,0.956,0.8169,0.94577,0.65535,0,0,0,0,1.26482,8.57245,0.40668,0.84577,1.62626,0.000295757,0.000295757,0.000295757
12,57.4843,1.17185,8.20266,0.38865,0.58134,1.34684,0.92867,0.87324,0.943,0.6612,0,0,0,0,1.29026,8.45954,0.42418,0.77722,1.66925,0.000295333,0.000295333,0.000295333
13,60.8653,1.17197,7.97725,0.38537,0.5697,1.34835,0.8786,0.88732,0.94017,0.65961,0,0,0,0,1.24638,8.20995,0.41637,0.70855,1.61082,0.000294909,0.000294909,0.000294909
14,64.1538,1.0916,7.75957,0.37691,0.53197,1.30265,0.88595,0.87531,0.95591,0.67239,0.08864,0.04225,0.00587,0.00059,1.22478,8.03948,0.41507,0.72352,1.57103,0.000294484,0.000294484,0.000294484
15,67.837,1.09491,7.54389,0.3844,0.55791,1.30605,0.90634,0.84507,0.95788,0.67402,0.13485,0.05634,0.01158,0.00116,1.20454,7.85769,0.40597,0.71376,1.55883,0.00029406,0.00029406,0.00029406
16,71.6325,1.11429,7.3376,0.37091,0.54001,1.33673,0.87264,0.8169,0.93903,0.62803,0.15806,0.07042,0.02906,0.00291,1.38392,7.87285,0.39241,0.80225,1.70898,0.000293636,0.000293636,0.000293636
17,74.9642,1.12028,7.18689,0.35455,0.52157,1.27252,0.84257,0.85915,0.94568,0.6586,0.06247,0.02817,0.00208,0.00021,1.28204,7.78961,0.36873,0.79039,1.6563,0.000293211,0.000293211,0.000293211
18,78.3314,1.13817,7.0087,0.35648,0.51496,1.25587,0.89175,0.92818,0.96874,0.66349,0.17978,0.12676,0.05102,0.00848,1.2854,7.47511,0.35404,0.72833,1.58904,0.000292787,0.000292787,0.000292787
19,81.6573,1.06594,6.85641,0.34051,0.49198,1.21466,0.9293,0.92575,0.97473,0.70244,0.50577,0.26761,0.21717,0.0288,1.17642,7.28359,0.34855,0.67733,1.50938,0.000292363,0.000292363,0.000292363
20,85.4107,1.05467,6.823,0.32825,0.48821,1.18974,0.91479,0.90726,0.95593,0.66875,0.23911,0.11268,0.03831,0.00444,1.1875,7.38677,0.3457,0.724,1.50083,0.000291939,0.000291939,0.000291939
21,88.7342,1.01854,6.65631,0.3319,0.50113,1.22947,0.88611,0.83099,0.94029,0.6621,0.09492,0.08451,0.01709,0.00171,1.23223,7.35591,0.3414,0.73491,1.5619,0.000291514,0.000291514,0.000291514
22,92.0745,1.02752,6.57987,0.3354,0.49251,1.20486,0.89591,0.92958,0.96811,0.69374,0.08967,0.07042,0.02185,0.00251,1.22165,7.13784,0.34642,0.66527,1.52894,0.00029109,0.00029109,0.00029109
23,95.3761,0.99062,6.41686,0.33033,0.48,1.2407,0.94515,0.97072,0.98486,0.72091,0.28275,0.22535,0.11284,0.01429,1.14253,6.84289,0.34779,0.63937,1.46204,0.000290666,0.000290666,0.000290666
24,99.1636,1.07717,6.27122,0.34921,0.50021,1.1948,0.9167,0.93001,0.96986,0.71034,0.68892,0.47887,0.42242,0.06767,1.13118,6.77328,0.348,0.70714,1.41978,0.000290241,0.000290241,0.000290241
25,102.915,1.03828,5.95824,0.33607,0.47687,1.18623,0.90936,0.84507,0.92849,0.67173,0.55888,0.42254,0.33061,0.05909,1.24896,6.73738,0.34531,0.80003,1.51342,0.000289817,0.000289817,0.000289817
26,106.21,0.9806,5.67795,0.32806,0.44701,1.14059,0.94135,0.90428,0.97363,0.70812,0.6318,0.38677,0.36149,0.08406,1.136,6.4806,0.34357,0.68257,1.42967,0.000289393,0.000289393,0.000289393
27,109.925,0.97878,5.39955,0.32571,0.44958,1.12781,0.92396,0.92958,0.97548,0.72274,0.95218,0.56091,0.56898,0.16311,1.07591,6.21282,0.34308,0.61592,1.36533,0.000288969,0.000288969,0.000288969
28,113.614,0.98956,5.1407,0.33455,0.46429,1.18205,0.9334,0.91549,0.97991,0.69726,0.78459,0.52113,0.51903,0.1701,1.17695,5.92203,0.33984,0.64397,1.48292,0.000288544,0.000288544,0.000288544
29,116.929,0.95495,4.98663,0.31469,0.44229,1.15193,0.95551,0.83099,0.96423,0.68351,0.60339,0.51432,0.40286,0.11801,1.195,6.07362,0.33568,0.75286,1.46821,0.00028812,0.00028812,0.00028812
30,120.312,0.98803,4.89862,0.30417,0.44809,1.14262,0.9455,0.90141,0.98129,0.72659,0.91328,0.53521,0.56232,0.29267,1.06371,5.45043,0.32369,0.62774,1.37743,0.000287696,0.000287696,0.000287696
31,124.053,0.92115,4.55544,0.29906,0.41703,1.13427,0.87316,0.96963,0.97794,0.73133,0.70096,0.57746,0.53592,0.20087,1.0558,5.36949,0.32238,0.59126,1.38746,0.000287271,0.000287271,0.000287271
32,127.358,1.00457,4.40514,0.29239,0.42666,1.09387,0.90456,0.97183,0.98497,0.73121,0.70761,0.60563,0.54857,0.19799,1.08904,5.21368,0.31984,0.56432,1.40262,0.000286847,0.000286847,0.000286847
33,130.654,1.00635,4.49598,0.29835,0.46174,1.15716,0.96284,0.88732,0.98124,0.71988,0.71066,0.55355,0.54016,0.23216,1.08937,5.26395,0.31059,0.60209,1.35282,0.000286423,0.000286423,0.000286423
34,133.98,0.99594,4.40521,0.29791,0.45117,1.09422,0.93973,0.8785,0.97201,0.74201,0.81402,0.52113,0.53615,0.28632,1.03458,5.29531,0.30916,0.60279,1.29491,0.000285999,0.000285999,0.000285999
35,137.7,0.90426,4.51353,0.30219,0.42103,1.16273,0.92888,0.91981,0.97733,0.77625,0.80776,0.56338,0.55998,0.1954,0.98557,5.43861,0.30965,0.58851,1.24619,0.000285574,0.000285574,0.000285574
36,140.982,0.93227,4.30133,0.2944,0.42456,1.09016,0.97093,0.94083,0.98368,0.7527,0.78027,0.52113,0.48306,0.1567,1.01791,5.16591,0.30986,0.54581,1.28318,0.00028515,0.00028515,0.00028515
37,144.344,0.90299,4.32385,0.29578,0.43101,1.05133,0.95503,0.94366,0.98324,0.76242,0.83559,0.56338,0.57463,0.26366,1.01494,5.19354,0.31162,0.60495,1.26704,0.000284726,0.000284726,0.000284726
38,147.745,0.91887,4.19191,0.29015,0.42519,1.10453,0.94065,0.89296,0.96933,0.68015,0.61484,0.58463,0.47884,0.18484,1.1479,5.28905,0.31395,0.69502,1.443,0.000284301,0.000284301,0.000284301
39,151.083,0.9183,4.16768,0.29265,0.42029,1.14117,0.89451,0.95542,0.98231,0.72008,0.63048,0.57746,0.44313,0.23351,1.04165,5.25633,0.31216,0.65001,1.38802,0.000283877,0.000283877,0.000283877
40,154.422,0.96914,4.1558,0.29611,0.41903,1.05958,0.94123,0.98592,0.99156,0.75566,0.7599,0.60563,0.5571,0.28282,0.99135,4.84679,0.30509,0.52331,1.30706,0.000283453,0.000283453,0.000283453
41,158.268,0.91937,4.02074,0.29688,0.40766,1.08956,0.93801,0.92958,0.98665,0.74059,0.72281,0.57746,0.53205,0.21588,0.98201,4.97359,0.3047,0.55228,1.31256,0.000283029,0.000283029,0.000283029
42,161.644,0.91526,4.03576,0.30177,0.41801,1.06239,0.99273,0.92958,0.98992,0.75119,0.72981,0.57073,0.56803,0.26028,1.02884,5.05848,0.30564,0.55189,1.33315,0.000282604,0.000282604,0.000282604
43,165.025,0.90112,4.17033,0.28649,0.42945,1.10061,0.90779,0.97063,0.98267,0.73742,0.78436,0.61483,0.59589,0.30522,1.01947,4.93649,0.30709,0.56616,1.30418,0.00028218,0.00028218,0.00028218
44,168.833,0.97456,4.14942,0.29358,0.42739,1.08006,0.95888,0.98527,0.99236,0.78344,0.74544,0.65995,0.63422,0.34757,0.9305,4.74982,0.30074,0.49804,1.219,0.000281756,0.000281756,0.000281756
45,172.582,0.90008,4.01399,0.29316,0.40664,1.0624,0.97256,0.98592,0.99366,0.76915,0.72285,0.61972,0.58101,0.19427,0.95381,5.02693,0.30427,0.53392,1.26421,0.000281331,0.000281331,0.000281331
46,175.911,0.8772,4.01612,0.29635,0.40683,1.07684,0.98558,0.96277,0.99099,0.74319,0.8251,0.50704,0.54874,0.14822,1.0954,5.06604,0.30699,0.56106,1.42395,0.000280907,0.000280907,0.000280907
47,179.251,0.9288,3.97597,0.29115,0.40805,1.07194,0.95988,0.95775,0.98807,0.76385,0.72383,0.61972,0.60022,0.31578,1.01229,4.75712,0.30606,0.54996,1.28333,0.000280483,0.000280483,0.000280483
48,182.601,0.96238,4.01557,0.29034,0.40348,1.06421,0.93018,0.93832,0.98186,0.7207,0.74794,0.54339,0.56967,0.16969,1.0815,5.13746,0.30635,0.58127,1.3771,0.000280059,0.000280059,0.000280059
49,185.972,0.87673,4.19961,0.29119,0.43544,1.11396,0.94557,0.97868,0.98868,0.77491,0.85866,0.59901,0.61661,0.40833,0.94088,4.67805,0.29963,0.54552,1.22458,0.000279634,0.000279634,0.000279634
50,189.749,0.88212,4.09311,0.28587,0.39904,1.01681,0.94417,0.95275,0.98002,0.7314,0.72189,0.62153,0.60591,0.27333,1.05168,4.76823,0.30028,0.61857,1.29861,0.00027921,0.00027921,0.00027921
51,193.064,0.85386,3.79809,0.28177,0.38784,0.964,0.93012,0.93738,0.97513,0.74478,0.74255,0.61972,0.60337,0.29678,1.03559,4.62267,0.30023,0.5646,1.31166,0.000278786,0.000278786,0.000278786
52,196.432,0.92207,3.74614,0.29198,0.40289,1.0163,0.94608,0.95775,0.98719,0.7679,0.81967,0.66197,0.66528,0.39544,0.98851,4.45488,0.29986,0.51193,1.26096,0.000278361,0.000278361,0.000278361
53,199.784,0.83286,3.75966,0.28367,0.38073,1.05118,0.92777,0.97183,0.9848,0.75118,0.83558,0.60563,0.6424,0.37573,0.99221,4.57225,0.30265,0.54003,1.27892,0.000277937,0.000277937,0.000277937
54,203.155,0.8575,3.66293,0.28568,0.38256,1.01281,0.9791,0.91549,0.98682,0.76787,0.8525,0.57746,0.60604,0.35113,0.94773,4.54624,0.30176,0.52141,1.23543,0.000277513,0.000277513,0.000277513
55,206.508,0.86742,3.66563,0.28321,0.38492,0.97804,0.98524,0.93993,0.98837,0.7704,0.8569,0.60563,0.64983,0.33683,0.97197,4.49342,0.29905,0.50662,1.27366,0.000277089,0.000277089,0.000277089
56,209.854,0.82768,3.73106,0.28693,0.38344,1.01833,0.9714,0.94366,0.98699,0.7703,0.89442,0.59666,0.66566,0.42022,0.91442,4.38463,0.29645,0.48353,1.22072,0.000276664,0.000276664,0.000276664
57,213.615,0.91292,3.78398,0.28657,0.39827,1.02802,0.9716,0.9637,0.98918,0.78335,0.79102,0.67606,0.67905,0.40858,0.89107,4.43495,0.2962,0.47902,1.20362,0.00027624,0.00027624,0.00027624
58,217.375,0.92713,3.66986,0.2861,0.39587,0.99271,0.95029,0.97183,0.99012,0.7699,0.85571,0.67606,0.67498,0.38836,0.9651,4.45588,0.2935,0.51281,1.2388,0.000275816,0.000275816,0.000275816
59,220.651,0.90461,3.67753,0.29519,0.39681,1.04411,0.93113,0.95211,0.97491,0.73155,0.65481,0.66197,0.57905,0.3054,1.0161,4.98212,0.29824,0.63008,1.32909,0.000275391,0.000275391,0.000275391
60,223.958,0.96938,3.73276,0.29716,0.40748,0.99742,0.93254,0.97344,0.98627,0.75654,0.87705,0.60284,0.61967,0.36483,0.97787,4.75708,0.29623,0.52877,1.2708,0.000274967,0.000274967,0.000274967
61,227.296,0.80534,3.59597,0.28318,0.36685,1.01189,0.92173,0.97183,0.98495,0.78409,0.853,0.65391,0.66626,0.38617,0.89751,4.59885,0.29639,0.52369,1.16377,0.000274543,0.000274543,0.000274543
62,230.68,0.81891,3.51698,0.28463,0.37529,0.99279,0.94266,0.97183,0.98159,0.79203,0.88835,0.70423,0.70333,0.41115,0.85553,4.23508,0.2973,0.47978,1.16567,0.000274119,0.000274119,0.000274119
63,234.351,0.78873,3.50155,0.28269,0.37062,1.03774,0.97167,0.96612,0.98878,0.79912,0.92376,0.6827,0.72062,0.42333,0.85751,4.26708,0.29739,0.4953,1.19513,0.000273694,0.000273694,0.000273694
64,238.134,0.90803,3.66388,0.28287,0.40149,1.04437,0.95807,0.9655,0.98676,0.77529,0.87336,0.67995,0.69714,0.416,0.93102,4.22604,0.29409,0.49963,1.2002,0.00027327,0.00027327,0.00027327
65,241.473,0.83541,3.53728,0.29097,0.38862,1.01119,0.97182,0.97137,0.98643,0.79288,0.84388,0.60563,0.658,0.3972,0.87252,4.27387,0.29286,0.50324,1.13175,0.000272846,0.000272846,0.000272846
66,244.817,0.81444,3.43623,0.27606,0.37208,1.00302,0.95806,0.96515,0.98572,0.79049,0.89612,0.59155,0.65709,0.40068,0.90691,4.36271,0.2939,0.51555,1.17529,0.000272421,0.000272421,0.000272421
67,248.08,0.84069,3.54723,0.2748,0.37472,0.97318,0.96495,0.90141,0.97499,0.75614,0.80904,0.59155,0.63736,0.3485,0.9944,4.31408,0.29836,0.55013,1.24987,0.000271997,0.000271997,0.000271997
68,251.368,0.8184,3.44504,0.27482,0.37416,1.00419,0.95057,0.94366,0.97999,0.79705,0.89824,0.60563,0.67461,0.39946,0.81531,4.24319,0.29515,0.47061,1.08547,0.000271573,0.000271573,0.000271573
69,254.661,0.83754,3.55426,0.28868,0.38375,1.00983,0.95352,0.95775,0.98464,0.78841,0.82429,0.67606,0.7033,0.38201,0.8327,4.14876,0.29279,0.48129,1.1049,0.000271149,0.000271149,0.000271149
70,257.991,0.89074,3.4015,0.28027,0.37675,0.96843,0.94444,0.95761,0.98415,0.78598,0.86203,0.66197,0.67604,0.39815,0.86927,4.2201,0.29283,0.50939,1.13742,0.000270724,0.000270724,0.000270724
71,261.274,0.86696,3.46971,0.27448,0.37699,0.99358,0.94421,0.95775,0.98427,0.78169,0.8959,0.64789,0.72072,0.41519,0.89608,4.18207,0.28816,0.51755,1.15448,0.0002703,0.0002703,0.0002703
72,264.627,0.8269,3.4154,0.28332,0.37435,0.93587,0.9532,0.92958,0.97097,0.77078,0.94902,0.6338,0.7072,0.38731,0.86677,4.3295,0.28534,0.53925,1.14227,0.000269876,0.000269876,0.000269876
73,267.994,0.85094,3.43212,0.285,0.37771,1.00448,0.9688,0.91549,0.97013,0.75269,0.80493,0.71831,0.70163,0.35347,0.95566,4.22224,0.28519,0.51479,1.22843,0.000269451,0.000269451,0.000269451
74,271.274,0.90159,3.36656,0.28736,0.3895,0.98575,0.95683,0.93659,0.9725,0.77117,0.92623,0.6338,0.6925,0.3944,0.85578,4.22568,0.28912,0.53293,1.09896,0.000269027,0.000269027,0.000269027
75,274.573,0.81824,3.38021,0.27364,0.36045,1.00425,0.99367,0.94366,0.97579,0.78391,0.9261,0.70602,0.73874,0.40136,0.88027,4.13579,0.28652,0.51709,1.14968,0.000268603,0.000268603,0.000268603
76,277.899,0.86074,3.37213,0.27807,0.37554,0.96492,0.97101,0.94344,0.98444,0.7823,0.92107,0.65747,0.69024,0.38828,0.87752,4.21056,0.28799,0.54594,1.15684,0.000268179,0.000268179,0.000268179
77,281.197,0.83546,3.38227,0.27065,0.35634,0.939,0.98545,0.95395,0.98741,0.80738,0.87481,0.76056,0.75752,0.42407,0.81486,3.93094,0.29096,0.46316,1.11133,0.000267754,0.000267754,0.000267754
78,284.904,0.84365,3.33219,0.28227,0.35826,0.93793,0.97098,0.94243,0.98526,0.7754,0.81674,0.75332,0.73699,0.3664,0.88292,4.10839,0.28751,0.51578,1.17464,0.00026733,0.00026733,0.00026733
79,288.161,0.81135,3.20554,0.27602,0.36967,0.92814,0.97136,0.95533,0.97868,0.78565,0.81786,0.76056,0.75229,0.41577,0.85018,4.07817,0.28531,0.51059,1.10768,0.000266906,0.000266906,0.000266906
80,291.449,0.85524,3.29729,0.28015,0.37344,0.92314,0.97885,0.92958,0.98533,0.77704,0.88219,0.67606,0.73979,0.3418,0.89655,4.14223,0.2833,0.52713,1.14965,0.000266481,0.000266481,0.000266481
81,294.733,0.826,3.17366,0.27243,0.35922,0.95869,0.97215,0.98316,0.98777,0.80347,0.895,0.72035,0.77034,0.39838,0.82982,3.85552,0.28211,0.4521,1.08029,0.000266057,0.000266057,0.000266057
82,298.051,0.78519,3.16938,0.26606,0.35512,0.94715,0.97071,0.97183,0.98685,0.7828,0.79628,0.77076,0.75441,0.41658,0.87305,3.96175,0.28398,0.5005,1.16931,0.000265633,0.000265633,0.000265633
83,301.37,0.81342,3.24508,0.27944,0.36961,0.97913,0.9195,0.96529,0.97324,0.78492,0.87822,0.66197,0.73989,0.405,0.86426,4.22995,0.28532,0.55518,1.11247,0.000265209,0.000265209,0.000265209
84,304.72,0.81609,3.18754,0.27352,0.35974,0.95586,0.97818,0.94366,0.98225,0.82889,0.85626,0.75517,0.75105,0.43904,0.76721,3.85127,0.28767,0.44785,1.02611,0.000264784,0.000264784,0.000264784
85,308.442,0.80633,3.1646,0.26718,0.3537,0.93952,0.96865,0.95775,0.98085,0.82413,0.98209,0.77235,0.78364,0.35094,0.80875,4.00576,0.281,0.45592,1.05937,0.00026436,0.00026436,0.00026436
86,311.815,0.77975,3.1786,0.28462,0.34709,0.92919,0.9718,0.97064,0.98933,0.80215,0.90306,0.64789,0.71499,0.33512,0.84883,4.05198,0.28173,0.46629,1.15573,0.000263936,0.000263936,0.000263936
87,315.205,0.81918,3.26374,0.26812,0.35895,0.96489,0.91538,0.95775,0.98312,0.76611,0.86635,0.63918,0.69839,0.30635,0.9202,4.16682,0.27681,0.52244,1.18004,0.000263511,0.000263511,0.000263511
88,318.591,0.85804,3.21173,0.27384,0.35833,0.9546,0.97187,0.97329,0.99371,0.79842,0.87396,0.68368,0.72621,0.36986,0.85486,3.88313,0.27308,0.44698,1.10645,0.000263087,0.000263087,0.000263087
89,321.958,0.82091,3.30438,0.26777,0.35751,0.97003,0.92183,0.9966,0.98759,0.83851,0.83328,0.70397,0.7343,0.45214,0.75458,3.79723,0.27264,0.41844,1.00914,0.000262663,0.000262663,0.000262663
90,325.787,0.76974,3.18712,0.26718,0.34392,0.97647,0.97043,0.92462,0.9838,0.80184,0.85172,0.70423,0.68907,0.38184,0.78634,3.81731,0.27215,0.45928,1.02812,0.000262239,0.000262239,0.000262239
91,329.105,0.81169,3.26721,0.27484,0.35482,0.96653,0.98469,0.90567,0.98491,0.77982,0.78238,0.65831,0.63715,0.32888,0.8205,4.01573,0.27269,0.50957,1.05845,0.000261814,0.000261814,0.000261814
92,332.43,0.90182,3.30273,0.26537,0.40146,1.0102,0.98349,0.97183,0.98285,0.80785,0.88017,0.74648,0.76318,0.45617,0.74522,3.61511,0.27117,0.43269,0.96491,0.00026139,0.00026139,0.00026139
