epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,12.5561,2.43515,11.4733,0.54023,1.13903,3.26009,0.51239,0.65906,0.58125,0.3253,0,0,0,0,2.04987,11.4855,0.47739,1.56466,2.66902,6.66667e-05,6.66667e-05,0.0778444
2,15.1683,2.32481,11.6996,0.36765,1.09022,3.01945,0.52566,0.69556,0.59268,0.33345,0,0,0,0,1.99446,11.5114,0.47599,1.57788,2.5807,0.000166431,0.000166431,0.0446109
3,17.7533,2.66667,11.5445,0.44572,1.47863,3.73484,0.52566,0.69556,0.59268,0.33345,0,0,0,0,1.99446,11.5114,0.47599,1.57788,2.5807,0.000265912,0.000265912,0.011377
4,20.3409,2.77394,11.7488,0.55097,1.29504,4.18658,0.79387,0.625,0.65533,0.34143,0,0,0,0,1.92206,11.5179,0.46482,1.55337,2.5005,0.000298727,0.000298727,0.000298727
5,22.9557,2.69634,11.5307,0.43753,1.43824,5.37778,0.79387,0.625,0.65533,0.34143,0,0,0,0,1.92206,11.5179,0.46482,1.55337,2.5005,0.000298303,0.000298303,0.000298303
6,25.5779,2.3721,11.7934,0.47237,1.13127,3.78547,0.588,0.75,0.621,0.34564,0,0,0,0,1.9226,11.506,0.45568,1.51762,2.50904,0.000297879,0.000297879,0.000297879
7,28.186,2.52258,11.6005,0.373,0.98261,3.11208,0.588,0.75,0.621,0.34564,0,0,0,0,1.9226,11.506,0.45568,1.51762,2.50904,0.000297454,0.000297454,0.000297454
8,30.8087,2.87506,11.4651,0.76419,1.65677,3.79106,0.588,0.75,0.621,0.34564,0,0,0,0,1.9226,11.506,0.45568,1.51762,2.50904,0.00029703,0.00029703,0.00029703
9,33.4254,2.35768,11.7398,0.4484,1.23496,4.1072,0.5888,0.75,0.62425,0.34909,0,0,0,0,1.93809,11.512,0.45423,1.49098,2.50955,0.000296606,0.000296606,0.000296606
10,36.0419,2.54404,11.5497,0.49214,1.34569,3.89864,0.5888,0.75,0.62425,0.34909,0,0,0,0,1.93809,11.512,0.45423,1.49098,2.50955,0.000296181,0.000296181,0.000296181
11,38.6689,2.57082,11.5548,0.50346,1.14508,3.72488,0.65795,0.75,0.63767,0.36446,0,0,0,0,1.94672,11.5358,0.45558,1.52861,2.49296,0.000295757,0.000295757,0.000295757
12,41.2737,2.30322,11.8164,0.42188,1.03713,3.87848,0.65795,0.75,0.63767,0.36446,0,0,0,0,1.94672,11.5358,0.45558,1.52861,2.49296,0.000295333,0.000295333,0.000295333
13,43.8797,2.43651,11.765,0.47596,1.17347,4.58895,0.72942,0.75,0.6825,0.37301,0,0,0,0,1.94443,11.5479,0.45504,1.54518,2.49208,0.000294909,0.000294909,0.000294909
14,46.485,2.62438,11.7782,0.44659,1.38394,4.53865,0.72942,0.75,0.6825,0.37301,0,0,0,0,1.94443,11.5479,0.45504,1.54518,2.49208,0.000294484,0.000294484,0.000294484
15,49.0944,2.8059,11.5372,0.58356,1.55033,3.63471,0.72942,0.75,0.6825,0.37301,0,0,0,0,1.94443,11.5479,0.45504,1.54518,2.49208,0.00029406,0.00029406,0.00029406
16,51.7792,1.95131,11.7372,0.38586,1.11041,2.93208,0.56444,0.5,0.40891,0.11444,0,0,0,0,2.78409,11.5031,0.44861,1.92646,4.18769,0.000293636,0.000293636,0.000293636
17,54.7063,3.04752,11.4622,0.3798,1.2661,4.11719,0.56444,0.5,0.40891,0.11444,0,0,0,0,2.78409,11.5031,0.44861,1.92646,4.18769,0.000293211,0.000293211,0.000293211
18,57.6627,2.72348,11.638,0.42046,1.131,2.85863,0.76539,0.625,0.65872,0.27614,0,0,0,0,2.39909,11.4983,0.46722,1.97053,3.68632,0.000292787,0.000292787,0.000292787
19,60.5971,2.17625,11.3951,0.36999,0.85547,2.39459,0.76539,0.625,0.65872,0.27614,0,0,0,0,2.39909,11.4983,0.46722,1.97053,3.68632,0.000292363,0.000292363,0.000292363
20,63.558,2.04015,11.2277,0.45335,1.04339,2.39811,0.68082,0.625,0.70139,0.34368,0,0,0,0,1.95236,11.4632,0.4934,1.35636,3.00341,0.000291939,0.000291939,0.000291939
21,66.4953,2.10134,11.4516,0.40641,0.85563,2.10141,0.68082,0.625,0.70139,0.34368,0,0,0,0,1.95236,11.4632,0.4934,1.35636,3.00341,0.000291514,0.000291514,0.000291514
22,69.4431,2.05417,11.5955,0.31749,0.92911,1.85904,0.68082,0.625,0.70139,0.34368,0,0,0,0,1.95236,11.4632,0.4934,1.35636,3.00341,0.00029109,0.00029109,0.00029109
23,72.3874,1.70732,11.6235,0.33225,0.77897,1.9003,0.53687,0.875,0.69682,0.33749,0,0,0,0,2.12999,11.321,0.44914,1.30778,3.3093,0.000290666,0.000290666,0.000290666
24,75.3217,2.16202,11.41,0.43093,1.10089,2.02133,0.53687,0.875,0.69682,0.33749,0,0,0,0,2.12999,11.321,0.44914,1.30778,3.3093,0.000290241,0.000290241,0.000290241
25,78.2561,1.61258,11.4566,0.30929,0.79334,1.82199,0.56292,0.875,0.69318,0.33766,0,0,0,0,2.08004,11.3248,0.4309,1.19729,3.02875,0.000289817,0.000289817,0.000289817
26,81.1934,1.81971,11.5299,0.30246,0.80467,1.82268,0.56292,0.875,0.69318,0.33766,0,0,0,0,2.08004,11.3248,0.4309,1.19729,3.02875,0.000289393,0.000289393,0.000289393
27,84.1287,1.83984,11.3553,0.36237,0.93884,1.95172,0.43438,0.875,0.6401,0.26864,0,0,0,0,2.36754,11.2715,0.41204,1.23371,3.38779,0.000288969,0.000288969,0.000288969
28,87.0536,2.04474,11.0429,0.33251,0.93276,1.90406,0.43438,0.875,0.6401,0.26864,0,0,0,0,2.36754,11.2715,0.41204,1.23371,3.38779,0.000288544,0.000288544,0.000288544
29,89.9861,1.60527,11.5188,0.35255,0.83176,1.76624,0.43438,0.875,0.6401,0.26864,0,0,0,0,2.36754,11.2715,0.41204,1.23371,3.38779,0.00028812,0.00028812,0.00028812
30,92.9195,1.66238,11.4177,0.34463,0.89558,1.7023,0.54011,0.625,0.56306,0.28705,0,0,0,0,2.04834,11.2946,0.42125,1.25901,2.68219,0.000287696,0.000287696,0.000287696
31,95.8438,1.87844,11.2312,0.32051,0.84267,1.95842,0.54011,0.625,0.56306,0.28705,0,0,0,0,2.04834,11.2946,0.42125,1.25901,2.68219,0.000287271,0.000287271,0.000287271
32,98.787,1.70036,11.6086,0.30746,0.85454,1.66352,0.61638,0.5,0.5859,0.36923,0,0,0,0,1.79126,11.3241,0.42728,1.34181,2.28073,0.000286847,0.000286847,0.000286847
33,101.706,1.51693,11.2327,0.36031,0.86159,1.53107,0.61638,0.5,0.5859,0.36923,0,0,0,0,1.79126,11.3241,0.42728,1.34181,2.28073,0.000286423,0.000286423,0.000286423
34,104.636,1.89694,11.3482,0.34015,0.82485,1.57991,0.7688,0.625,0.65408,0.41381,0,0,0,0,1.6053,11.4672,0.41517,1.08112,2.09842,0.000285999,0.000285999,0.000285999
35,107.964,1.57082,11.1453,0.34679,0.76331,1.81603,0.7688,0.625,0.65408,0.41381,0,0,0,0,1.6053,11.4672,0.41517,1.08112,2.09842,0.000285574,0.000285574,0.000285574
36,111.3,1.86299,10.9797,0.35169,0.80257,1.75753,0.7688,0.625,0.65408,0.41381,0,0,0,0,1.6053,11.4672,0.41517,1.08112,2.09842,0.00028515,0.00028515,0.00028515
37,114.659,1.57074,10.9397,0.33359,0.73934,1.67105,0.80362,0.625,0.6468,0.42798,0,0,0,0,1.47934,11.509,0.41147,1.01982,1.98368,0.000284726,0.000284726,0.000284726
38,117.994,1.29733,11.0701,0.32945,0.64776,1.86816,0.80362,0.625,0.6468,0.42798,0,0,0,0,1.47934,11.509,0.41147,1.01982,1.98368,0.000284301,0.000284301,0.000284301
39,121.343,1.82369,11.3034,0.3854,0.87443,1.5796,0.78209,0.625,0.61913,0.41737,0,0,0,0,1.40704,11.4852,0.40689,1.20127,1.79775,0.000283877,0.000283877,0.000283877
40,124.251,1.71788,11.1217,0.34042,0.79797,1.61,0.78209,0.625,0.61913,0.41737,0,0,0,0,1.40704,11.4852,0.40689,1.20127,1.79775,0.000283453,0.000283453,0.000283453
41,127.166,1.69189,11.1845,0.31557,0.67516,1.50953,0.65314,0.625,0.59324,0.3827,0,0,0,0,1.40735,11.3112,0.39988,1.35371,1.81873,0.000283029,0.000283029,0.000283029
42,129.975,1.46476,11.0585,0.3465,0.72496,1.80618,0.65314,0.625,0.59324,0.3827,0,0,0,0,1.40735,11.3112,0.39988,1.35371,1.81873,0.000282604,0.000282604,0.000282604
