epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,14.7868,1.70777,11.8132,0.56865,0.89982,2.10875,0.69063,0.55,0.68118,0.28102,0,0,0,0,2.02175,11.6941,0.53715,1.48419,3.00487,9.375e-05,9.375e-05,0.0688438
2,17.9769,1.52492,11.706,0.41591,0.79859,1.69195,0.59992,0.74976,0.72211,0.27368,0,0,0,0,2.29218,11.183,0.59381,1.24075,2.72391,0.000193111,0.000193111,0.0356098
3,20.8188,1.49812,11.0761,0.4871,0.76393,1.63347,0.66331,0.85,0.81172,0.40754,0,0,0,0,1.85276,10.6602,0.82128,1.04573,2.14759,0.000291811,0.000291811,0.00237514
4,23.9306,1.32615,10.3743,0.59812,0.70229,1.55452,0.81092,0.91667,0.90943,0.54854,0,0,0,0,1.5416,10.4266,0.7755,0.84303,2.18825,0.00029703,0.00029703,0.00029703
5,26.9931,1.29509,9.87516,0.55156,0.65521,1.5421,0.84044,0.87795,0.93436,0.61254,0,0,0,0,1.32922,9.9468,0.61864,0.7907,1.85896,0.00029604,0.00029604,0.00029604
6,30.0449,1.17383,9.69882,0.54105,0.60865,1.43048,0.92694,0.85,0.93536,0.57116,0,0,0,0,1.43758,10.2909,0.65084,0.72706,2.19601,0.00029505,0.00029505,0.00029505
7,33.0645,1.18816,9.48582,0.54287,0.62052,1.53089,0.88858,0.93043,0.95662,0.63633,0,0,0,0,1.25302,10.3332,0.65316,0.66438,1.91024,0.00029406,0.00029406,0.00029406
8,36.2296,1.34603,9.64057,0.55317,0.68551,1.67052,0.96993,0.88333,0.97703,0.64862,0,0,0,0,1.27227,10.0776,0.59815,0.66433,1.88818,0.00029307,0.00029307,0.00029307
9,39.2881,1.09561,9.26995,0.5181,0.54206,1.35245,0.98132,0.87566,0.97258,0.70306,0,0,0,0,1.10455,9.55801,0.54781,0.5919,1.57991,0.00029208,0.00029208,0.00029208
10,42.341,1.03569,9.20424,0.47788,0.5378,1.3077,0.94692,0.83333,0.92573,0.67476,0,0,0,0,1.18673,9.35724,0.50548,0.66414,1.65651,0.00029109,0.00029109,0.00029109
