epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,49.6816,1.45639,6.88949,0.54995,0.74708,1.93434,0.55989,0.84097,0.67559,0.29828,0.07121,0.08475,0.01051,0.00168,2.05063,8.02629,0.72028,1.31275,3.52846,9.23077e-05,9.23077e-05,0.0693231
2,62.7957,1.42756,4.43662,0.69587,0.74959,1.7033,0.64042,0.81508,0.76437,0.37763,0.38405,0.22034,0.18028,0.03661,1.76396,6.61358,0.68424,1.34738,2.38251,0.000192036,0.000192036,0.0360895
3,71.0027,1.42765,3.85852,0.69954,0.72644,1.57727,0.82179,0.85978,0.87587,0.42017,0.15543,0.16949,0.11467,0.02422,1.81732,7.44897,0.72251,1.29468,2.74095,0.000291481,0.000291481,0.00285558
4,78.2977,1.36008,3.8622,0.66568,0.68989,1.61193,0.89341,0.8524,0.91376,0.59889,0.45013,0.35593,0.23323,0.08879,1.43192,5.61656,0.6729,0.90886,1.86807,0.000298727,0.000298727,0.000298727
5,92.7865,1.20646,3.76865,0.64456,0.5674,1.38566,0.95808,0.89831,0.94251,0.55033,0.5608,0.50847,0.36526,0.16312,1.51951,5.0683,0.62978,0.82862,1.84691,0.000298303,0.000298303,0.000298303
6,98.416,1.08774,3.27711,0.62842,0.57438,1.34491,0.93759,0.89831,0.96268,0.61213,0.73176,0.54237,0.52652,0.25776,1.33665,4.48744,0.63741,0.78981,1.78829,0.000297879,0.000297879,0.000297879
7,107.983,1.02539,2.99104,0.62906,0.54112,1.2804,0.94306,0.84219,0.93612,0.64548,0.82263,0.64407,0.61026,0.28617,1.23911,4.05344,0.56502,0.82719,1.60245,0.000297454,0.000297454,0.000297454
8,117.738,1.10585,2.88868,0.60477,0.55318,1.23013,0.97986,0.77966,0.92506,0.62188,0.77824,0.59486,0.5601,0.22801,1.28739,4.30761,0.54368,0.82064,1.67298,0.00029703,0.00029703,0.00029703
9,122.646,0.98197,2.82402,0.57925,0.52122,1.27803,0.907,0.72881,0.9218,0.54604,0.48448,0.38983,0.3281,0.17028,1.44958,4.70076,0.55727,0.91118,1.93654,0.000296606,0.000296606,0.000296606
10,130.59,0.98827,2.71884,0.58051,0.48646,1.15801,0.87723,0.84772,0.9289,0.54352,0.66854,0.45763,0.39609,0.15032,1.46226,4.56361,0.55852,0.83226,1.90366,0.000296181,0.000296181,0.000296181
11,141.683,1.0376,2.59697,0.54121,0.50412,1.1508,0.90106,0.9322,0.96083,0.5779,0.6047,0.57047,0.52546,0.27132,1.30775,4.08073,0.54362,0.79058,1.65014,0.000295757,0.000295757,0.000295757
12,151.162,0.99511,2.3388,0.5491,0.46204,1.14013,0.87007,0.91525,0.95507,0.58792,0.71067,0.57627,0.53736,0.23337,1.38513,3.98439,0.53029,0.73374,1.77829,0.000295333,0.000295333,0.000295333
13,155.683,0.90499,2.37349,0.55848,0.4449,1.13893,0.84046,0.91525,0.94808,0.69822,0.86929,0.74576,0.73485,0.44706,1.06979,3.11055,0.48221,0.64652,1.35323,0.000294909,0.000294909,0.000294909
14,167.553,0.91438,2.45182,0.50919,0.44101,1.09616,0.8685,0.89554,0.94596,0.64395,0.80593,0.63356,0.70102,0.33516,1.16377,3.6742,0.48944,0.70148,1.55154,0.000294484,0.000294484,0.000294484
15,179.491,0.92023,2.20753,0.49372,0.45057,1.05164,0.91591,0.92318,0.97662,0.74312,0.91111,0.72881,0.75738,0.49725,1.01893,3.10663,0.46698,0.59119,1.38011,0.00029406,0.00029406,0.00029406
16,186.764,0.87708,2.30003,0.48185,0.43417,1.04864,0.91768,0.89831,0.96211,0.68952,0.6979,0.74399,0.67025,0.35488,1.15015,3.59452,0.46466,0.68686,1.5405,0.000293636,0.000293636,0.000293636
17,193.594,0.89154,2.20834,0.46972,0.42352,0.97781,0.96399,0.90745,0.96916,0.72528,0.91789,0.75796,0.77261,0.47364,1.03917,3.07032,0.43613,0.61109,1.40349,0.000293211,0.000293211,0.000293211
18,206.483,0.78487,2.10387,0.4602,0.38246,1.00561,0.83651,0.91525,0.95077,0.68043,0.68894,0.72881,0.66906,0.38325,1.11613,3.52648,0.42768,0.73001,1.56216,0.000292787,0.000292787,0.000292787
19,216.26,0.80615,1.95692,0.45504,0.39601,1.03607,0.94619,0.8941,0.97296,0.72882,0.85593,0.72881,0.74189,0.50979,1.02608,3.03964,0.42134,0.64871,1.39062,0.000292363,0.000292363,0.000292363
20,220.595,0.82028,1.91376,0.42996,0.39672,0.94012,0.95942,0.86441,0.97141,0.69231,0.7015,0.64407,0.65451,0.42112,1.05888,3.22133,0.41892,0.66155,1.49582,0.000291939,0.000291939,0.000291939
21,233.295,0.80876,1.92923,0.41719,0.37682,0.94421,0.91726,0.9396,0.98282,0.68793,0.76294,0.55932,0.64807,0.37181,1.12349,3.27408,0.4016,0.64828,1.54506,0.000291514,0.000291514,0.000291514
22,242.107,0.81066,1.81067,0.40363,0.36923,0.97004,0.9648,0.92927,0.98493,0.70437,0.57893,0.67583,0.57401,0.36126,1.08745,3.37001,0.38966,0.631,1.51724,0.00029109,0.00029109,0.00029109
23,246.124,0.87862,1.72655,0.39803,0.37932,0.90546,0.93263,0.93864,0.98641,0.77577,0.87105,0.68702,0.7409,0.37158,0.92722,3.44047,0.37917,0.53026,1.29286,0.000290666,0.000290666,0.000290666
24,257.081,0.72874,1.79804,0.39181,0.35906,0.95227,0.87491,1,0.98103,0.79238,0.8905,0.72881,0.75798,0.52294,0.87454,2.7685,0.36636,0.51602,1.2097,0.000290241,0.000290241,0.000290241
25,269.989,0.7574,1.91862,0.36388,0.3657,0.92616,0.91657,0.93109,0.98223,0.75769,0.84794,0.79661,0.79612,0.47451,0.92467,3.00513,0.36528,0.52826,1.31502,0.000289817,0.000289817,0.000289817
26,277.09,0.77786,1.86626,0.36509,0.36266,0.93596,0.93515,0.97768,0.98901,0.80592,0.87084,0.79999,0.80857,0.55363,0.83849,2.64022,0.35763,0.48536,1.14872,0.000289393,0.000289393,0.000289393
27,283.793,0.76731,1.69098,0.35348,0.35745,0.92943,0.89543,0.98305,0.9858,0.73317,0.74778,0.62712,0.6091,0.29577,1.03882,3.99374,0.36138,0.63411,1.50985,0.000288969,0.000288969,0.000288969
28,295.587,0.77362,1.75487,0.35139,0.36685,0.92164,0.9066,0.98712,0.99027,0.79569,0.82715,0.77966,0.76484,0.56046,0.84315,2.69583,0.34845,0.52771,1.19865,0.000288544,0.000288544,0.000288544
29,305.013,0.73644,1.69671,0.34394,0.34967,0.90862,0.93538,0.94915,0.99058,0.75015,0.76058,0.64407,0.6792,0.35071,0.94851,3.38444,0.35174,0.57415,1.39583,0.00028812,0.00028812,0.00028812
30,309.783,0.7945,1.60671,0.33882,0.35264,0.91501,0.95037,0.97371,0.99166,0.77866,0.74959,0.74576,0.73285,0.52391,0.82754,2.65713,0.34486,0.52552,1.18831,0.000287696,0.000287696,0.000287696
31,318.284,0.79531,1.58331,0.3261,0.35374,0.87007,0.9652,0.94017,0.99112,0.76651,0.88313,0.89655,0.8541,0.48137,0.95287,2.77872,0.34404,0.48602,1.34277,0.000287271,0.000287271,0.000287271
32,330.684,0.73113,1.58325,0.3268,0.33194,0.91238,0.96299,0.98305,0.9913,0.78938,0.82912,0.84746,0.80815,0.56037,0.84108,2.37758,0.3362,0.4402,1.16043,0.000286847,0.000286847,0.000286847
33,338.775,0.85061,1.59912,0.32525,0.35207,0.88757,0.96701,0.9937,0.9881,0.74118,0.7692,0.7909,0.74287,0.36715,1.0252,3.09826,0.3425,0.49701,1.45244,0.000286423,0.000286423,0.000286423
34,343.118,0.78316,1.67367,0.31251,0.35785,0.92141,0.95071,0.9808,0.99269,0.76976,0.86374,0.76271,0.7818,0.51671,0.90112,2.55005,0.33062,0.45415,1.26208,0.000285999,0.000285999,0.000285999
35,351.594,0.76382,1.77333,0.30734,0.35036,0.93504,0.97919,1,0.99483,0.7646,0.87373,0.76271,0.78195,0.37172,0.9428,2.98077,0.32953,0.45779,1.33693,0.000285574,0.000285574,0.000285574
36,365.387,0.77867,1.63699,0.32051,0.34171,0.92526,1,0.98083,0.995,0.75544,0.8253,0.80074,0.79299,0.47945,0.97686,2.88436,0.32074,0.4891,1.40484,0.00028515,0.00028515,0.00028515
37,371.144,0.813,1.77373,0.30014,0.35637,0.8633,0.96519,0.93996,0.98966,0.76828,0.82675,0.79661,0.82806,0.54274,0.86027,2.53896,0.3187,0.49433,1.15411,0.000284726,0.000284726,0.000284726
38,378.281,0.72245,1.56585,0.29991,0.33068,0.85969,0.89261,0.9661,0.98375,0.74369,0.83187,0.69492,0.77402,0.44209,0.91768,2.89551,0.32034,0.51868,1.20685,0.000284301,0.000284301,0.000284301
39,388.297,0.73141,1.5285,0.29672,0.32671,0.86833,1,0.92902,0.99191,0.77793,0.84128,0.77966,0.79928,0.57338,0.84024,2.43655,0.31581,0.49626,1.16448,0.000283877,0.000283877,0.000283877
40,399.486,0.70174,1.48698,0.29951,0.32456,0.89666,0.96534,0.94412,0.98732,0.75917,0.8271,0.72975,0.78342,0.46258,0.90165,2.91673,0.31977,0.53077,1.24595,0.000283453,0.000283453,0.000283453
41,404.302,0.70114,1.44233,0.30938,0.32822,0.84449,0.92317,0.94915,0.98265,0.78419,0.83183,0.7546,0.79119,0.53546,0.85438,2.60948,0.31188,0.53719,1.18546,0.000283029,0.000283029,0.000283029
42,411.99,0.73832,1.51514,0.29997,0.33186,0.84606,0.94659,1,0.99058,0.75539,0.86495,0.75993,0.81163,0.46828,0.88593,2.78808,0.31783,0.61954,1.25155,0.000282604,0.000282604,0.000282604
43,423.689,0.76403,1.46784,0.2936,0.33714,0.85972,0.95453,1,0.99238,0.76289,0.78753,0.83051,0.81888,0.50563,0.88088,2.61526,0.31691,0.57311,1.22036,0.00028218,0.00028218,0.00028218
44,430.349,0.68852,1.44498,0.28715,0.32553,0.8385,0.935,0.97528,0.9897,0.77478,0.84141,0.72881,0.77509,0.5288,0.84772,2.51191,0.30957,0.51034,1.17668,0.000281756,0.000281756,0.000281756
45,436.189,0.73192,1.32019,0.28581,0.31954,0.82154,0.9597,0.9661,0.99073,0.79268,0.84448,0.84746,0.8444,0.53755,0.83787,2.6605,0.30935,0.4651,1.15482,0.000281331,0.000281331,0.000281331
46,449.196,0.71091,1.35789,0.28905,0.31589,0.83084,1,0.98019,0.99467,0.81462,0.87795,0.8535,0.8405,0.61006,0.82138,2.31283,0.30263,0.41099,1.15602,0.000280907,0.000280907,0.000280907
47,458.593,0.74186,1.48743,0.27893,0.32835,0.83826,0.95038,1,0.99268,0.78716,0.84955,0.86141,0.82932,0.53722,0.8902,2.42035,0.30667,0.45528,1.21481,0.000280483,0.000280483,0.000280483
48,462.948,0.72458,1.49302,0.27457,0.31548,0.84536,0.9807,1,0.9945,0.8214,0.92178,0.89831,0.89182,0.60083,0.80945,2.40535,0.30189,0.41132,1.10134,0.000280059,0.000280059,0.000280059
49,472.191,0.74619,1.34943,0.28745,0.32285,0.85065,0.98716,0.98305,0.99483,0.80564,0.89368,0.88136,0.86901,0.57337,0.85629,2.53201,0.30019,0.42888,1.19819,0.000279634,0.000279634,0.000279634
50,483.194,0.72647,1.32631,0.2773,0.31729,0.83275,0.94617,0.9661,0.98951,0.79392,0.9055,0.81205,0.84667,0.53186,0.82234,2.51574,0.30173,0.49563,1.11023,0.00027921,0.00027921,0.00027921
51,487.85,0.63529,1.38763,0.27604,0.30421,0.84691,0.93198,0.92895,0.97035,0.7437,0.80825,0.76271,0.74863,0.44136,0.94491,2.88172,0.30109,0.56888,1.35928,0.000278786,0.000278786,0.000278786
52,497.189,0.67659,1.43571,0.28835,0.30916,0.84787,0.93305,0.94487,0.9782,0.73491,0.74212,0.69492,0.67723,0.42925,0.9375,3.03116,0.2993,0.56237,1.34445,0.000278361,0.000278361,0.000278361
