epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,13.1746,2.12473,11.5902,0.61942,1.26744,3.21012,0.62877,0.75342,0.69208,0.34394,0,0,0,0,2.18987,11.4878,0.5651,1.69351,3.09136,8.88889e-05,8.88889e-05,0.0704593
2,14.3496,2.21403,11.5353,0.58682,1.20783,3.32273,0.76451,0.72222,0.66895,0.3143,0,0,0,0,2.9617,11.3277,0.56089,2.49002,3.9074,0.000188622,0.000188622,0.0372257
3,15.805,2.29802,11.5481,0.53132,1.1816,3.03523,0.73407,0.5,0.57501,0.25763,0,0,0,0,2.95188,11.56,0.56837,1.88415,4.20441,0.000288072,0.000288072,0.00399178
4,17.2521,2.36086,11.5698,0.52893,1.16624,2.79498,0.67492,0.57758,0.59368,0.24928,0,0,0,0,2.68488,11.5772,0.63869,2.47678,3.76285,0.000298727,0.000298727,0.000298727
5,18.6864,2.21413,11.5305,0.48399,1.15694,2.44643,0.47266,0.79712,0.65134,0.22713,0,0,0,0,2.74606,11.4483,0.60174,2.31628,3.47045,0.000298303,0.000298303,0.000298303
6,20.1199,2.29583,11.4987,0.45328,1.17641,2.44323,0.43184,0.72222,0.61611,0.25541,0,0,0,0,2.60978,11.4779,0.60337,2.36183,3.15923,0.000297879,0.000297879,0.000297879
7,21.5529,2.1418,11.3678,0.4559,1.16703,2.10189,0.83013,0.5438,0.70561,0.30001,0,0,0,0,2.2026,11.4653,0.56221,1.94945,2.54841,0.000297454,0.000297454,0.000297454
8,22.9898,2.13079,11.3465,0.46679,1.25352,2.27794,0.49299,0.83333,0.75383,0.35331,0,0,0,0,1.95698,11.3188,0.54481,1.87757,2.30131,0.00029703,0.00029703,0.00029703
9,24.8974,1.84312,11.3777,0.40062,1.00999,2.01603,0.65125,0.72222,0.79719,0.43807,0,0,0,0,1.99666,11.3819,0.48769,1.39018,2.04991,0.000296606,0.000296606,0.000296606
10,26.732,2.00795,11.4289,0.43965,1.024,2.03792,0.66775,0.72222,0.79511,0.38385,0,0,0,0,2.16885,11.4307,0.4853,1.52823,2.14608,0.000296181,0.000296181,0.000296181
11,28.1624,1.86284,11.4085,0.4306,0.97424,2.01609,0.81369,0.66667,0.8217,0.37825,0,0,0,0,2.19136,11.4218,0.49463,1.44646,2.25345,0.000295757,0.000295757,0.000295757
12,29.6444,1.83203,11.2211,0.40329,0.99894,2.03162,0.78877,0.61111,0.78848,0.36368,0,0,0,0,2.00347,11.3691,0.49653,1.36542,2.12241,0.000295333,0.000295333,0.000295333
13,31.0954,1.84257,11.1978,0.4322,1.06882,2.01792,0.67207,0.77778,0.79505,0.37604,0,0,0,0,1.8805,11.1976,0.49315,1.30427,2.03599,0.000294909,0.000294909,0.000294909
14,32.5506,1.91605,11.2324,0.41825,0.96141,1.98399,0.7812,0.83333,0.81187,0.40322,0,0,0,0,1.78637,11.197,0.48902,1.13438,2.01699,0.000294484,0.000294484,0.000294484
15,34.008,1.76255,11.171,0.41257,0.86282,1.78525,0.72861,0.83333,0.81864,0.39644,0,0,0,0,1.78941,11.141,0.491,1.11181,2.03701,0.00029406,0.00029406,0.00029406
16,35.4605,1.82285,11.0375,0.44133,0.84288,1.96647,0.80127,0.83333,0.86077,0.38223,0,0,0,0,1.78329,11.1482,0.49419,1.25341,2.06426,0.000293636,0.000293636,0.000293636
17,36.9271,1.85208,11.039,0.43893,0.898,2.01373,0.74335,0.80525,0.8038,0.36043,0,0,0,0,2.17208,11.16,0.50219,1.33039,2.35038,0.000293211,0.000293211,0.000293211
18,38.4293,1.60657,11.001,0.42079,0.77405,1.90682,0.72843,0.77778,0.80154,0.35831,0,0,0,0,2.32548,11.1613,0.49492,1.43647,2.43162,0.000292787,0.000292787,0.000292787
19,39.9043,1.65945,10.9446,0.41102,0.7686,2.0108,0.71975,0.77778,0.80838,0.35413,0,0,0,0,2.32388,11.1081,0.49309,1.49308,2.40879,0.000292363,0.000292363,0.000292363
20,41.3685,1.56225,10.7953,0.44251,0.80819,1.98529,0.65452,0.77778,0.78535,0.38775,0,0,0,0,2.25058,11.0943,0.48371,1.62313,2.3123,0.000291939,0.000291939,0.000291939
21,42.8269,1.62587,10.8921,0.40639,0.767,1.93149,0.63615,0.77778,0.7566,0.37403,0,0,0,0,2.38372,11.0307,0.46604,1.60755,2.4165,0.000291514,0.000291514,0.000291514
22,44.276,1.61485,10.7816,0.42624,0.80517,1.7525,0.76401,0.61111,0.72036,0.35846,0,0,0,0,2.58875,10.942,0.4532,1.72606,2.71754,0.00029109,0.00029109,0.00029109
23,45.7364,1.61282,10.8137,0.40183,0.77701,1.74417,0.79708,0.65529,0.72798,0.33621,0,0,0,0,2.61434,10.9202,0.45199,1.77381,2.84079,0.000290666,0.000290666,0.000290666
24,47.1927,1.55929,10.6578,0.40955,0.77728,1.73245,0.81212,0.72053,0.78884,0.35602,0,0,0,0,2.47721,10.8616,0.46207,1.72882,2.73826,0.000290241,0.000290241,0.000290241
25,48.6671,1.58033,10.3908,0.41832,0.71861,1.90206,0.78525,0.66667,0.80114,0.42714,0,0,0,0,2.16519,10.6628,0.51183,1.54551,2.48885,0.000289817,0.000289817,0.000289817
26,50.1344,1.63696,10.5723,0.42938,0.80743,1.9519,0.68468,0.77778,0.82977,0.40661,0,0,0,0,2.17307,10.5291,0.52785,1.32058,2.52723,0.000289393,0.000289393,0.000289393
27,51.5843,1.3793,10.3517,0.41414,0.66141,1.71915,0.74479,0.81134,0.85718,0.37419,0,0,0,0,2.18816,10.488,0.54195,1.21153,2.58405,0.000288969,0.000288969,0.000288969
