epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,14.0128,2.30699,11.6102,0.6157,1.40431,3.63209,0.50445,0.55556,0.47278,0.2624,0,0,0,0,2.02081,11.4723,0.57729,1.4105,2.60967,9.16667e-05,9.16667e-05,0.0695361
2,15.4417,2.54218,11.5762,0.61692,1.36646,3.41614,0.85584,0.33333,0.4679,0.22421,0,0,0,0,2.29604,11.3866,0.52998,1.6932,2.51498,0.000191396,0.000191396,0.0363025
3,17.1717,2.57069,11.4956,0.51949,1.26855,2.95739,0.57649,0.66667,0.64796,0.27237,0,0,0,0,1.98974,11.5043,0.55609,1.78812,2.45899,0.000290842,0.000290842,0.00306862
4,19.273,2.17985,11.5115,0.45868,1.28455,2.47948,0.45618,0.62963,0.54795,0.24738,0,0,0,0,2.02494,11.4592,0.51568,1.8483,2.42552,0.000298727,0.000298727,0.000298727
5,21.0222,2.1806,11.4555,0.45049,1.26623,2.25385,0.73342,0.77778,0.80949,0.32503,0,0,0,0,1.77854,11.5432,0.47387,1.59757,2.23467,0.000298303,0.000298303,0.000298303
6,23.2548,1.90208,11.3842,0.44917,1.17047,2.06703,0.66845,0.77778,0.83047,0.38681,0,0,0,0,1.71429,11.4963,0.4598,1.46137,2.10654,0.000297879,0.000297879,0.000297879
7,25.4157,1.8916,11.3808,0.42856,1.13301,2.13921,0.67517,0.74074,0.78547,0.42329,0,0,0,0,1.68254,11.402,0.45997,1.18198,2.12246,0.000297454,0.000297454,0.000297454
8,27.612,1.87646,11.3416,0.42465,1.0427,2.13583,0.6966,0.68061,0.76478,0.41465,0,0,0,0,1.76916,11.3366,0.47743,1.17615,2.21349,0.00029703,0.00029703,0.00029703
9,29.3719,1.82226,11.2818,0.44448,0.99229,2.15443,0.67399,0.7037,0.72547,0.36147,0,0,0,0,1.96632,11.1872,0.50341,1.15988,2.34949,0.000296606,0.000296606,0.000296606
10,31.0763,1.88603,11.2091,0.44786,0.97606,1.93841,0.76196,0.77778,0.75852,0.40685,0,0,0,0,1.87956,11.1151,0.48874,1.13537,2.23776,0.000296181,0.000296181,0.000296181
